Sample ID	block	run	treatment	fauna	rank	temp	cockles_nb	shrimps_nb	worms_nb	seed_nb	seed_depth	0_nb	1_nb	2_nb	3_nb	4_nb	5_nb	germinated_perc	germ_perc_deep	0_germ_perc	1_germ_perc	germ_perc_1-6	2_germ_perc	3_germ_perc	4_germ_perc	5_germ_perc	germ_depth	germ_nb	0_germ_nb	1_germ_nb	2_germ_nb	3_germ_nb	4_germ_nb	5_germ_nb	GERM	DEEPNO	X1NO
1.15.1	15	1	2 shrimp - warming	SHRIMP	3	WARM	0	1	0	9	0	9	0	0	0	0	0	0.5		0.5							0	3	3	0	0	0	0	0	0.33	FALSE	FALSE
1.15.2	15	1	no fauna - warming	NO	1	WARM	0	0	0	10	0.05	9	1	0	0	0	0	0.285714286	0	0.333333333	0						0	2	2	0	0	0	0	0	0.20	FALSE	FALSE
1.15.3	15	1	fauna mix - warming	MIX	5	WARM	1	0	0	8	0.3125	3	5	0	0	0	0	0.4	0.333333333	0.5	0.333333333						0.25	2	1	1	0	0	0	0	0.25	TRUE	TRUE
1.15.4	15	1	2 cockles - warming	COCKLE	2	WARM	2	0	0	8	0.25	4	4	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.15.5	15	1	no fauna - warming	NO	1	WARM	0	0	0	7	0.285714286	3	4	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.16.1	16	1	no fauna - warming	NO	1	WARM	0	0	0	7	0.214285714	4	3	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.16.2	16	1	2 cockles - warming	COCKLE	2	WARM	1	0	0	9	0.277777778	4	5	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0.00	TRUE	TRUE
1.16.3	16	1	no fauna - warming	NO	1	WARM	0	0	0	13	0.230769231	7	6	0	0	0	0	0.166666667	0.166666667	0.166666667	0.166666667						0.25	2	1	1	0	0	0	0	0.15	TRUE	TRUE
1.16.4	16	1	fauna mix - warming	MIX	5	WARM	1	0	0	10	0.35	3	7	0	0	0	0	0.125	0	0.333333333	0						0	1	1	0	0	0	0	0	0.10	TRUE	TRUE
1.16.5	16	1	2 shrimp - warming	SHRIMP	3	WARM	0	0	0	12	0.208333333	7	5	0	0	0	0	0.090909091	0	0.166666667	0						0	1	1	0	0	0	0	0	0.08	TRUE	TRUE
1.2.1	.2	1	2 cockles - control temp	COCKLE	2	COLD	2	0	0	7	0.428571429	3	3	1	0	0	0	0.285714286	0.25	0.333333333	0.333333333	0	0				0.25	2	1	1	0	0	0	0	0.29	TRUE	TRUE
1.2.2	.2	1	worms  - control temp	WORM	4	COLD	0	0	12	8	0.6875	6	1	0	0	0	1	0.5	0	0.666666667	0	0				0	0	4	4	0	0	0	0	0	0.50	FALSE	FALSE
1.2.3	.2	1	2 shrimp - control temp	SHRIMP	3	COLD	0	0	0	8	0.625	4	1	3	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0.00	TRUE	FALSE
1.2.4	.2	1	fauna mix - control temp	MIX	5	COLD	1	3	0	9	0.333333333	3	6	0	0	0	0	0.222222222	0.166666667	0.333333333	0.166666667						0.25	2	1	1	0	0	0	0	0.22	TRUE	TRUE
1.2.5	.2	1	no fauna-control temp	NO	1	COLD	0	0	0	8	0.25	6	1	1	0	0	0	0.25	0	0.333333333	0	0	0				0	2	2	0	0	0	0	0	0.25	FALSE	FALSE
